#Category;Date;Start;Stop;Comment
Electrical Inspection;2024-08-14;09:00;10:45;Car 60 Inspection Bay 24
Electrical Inspection;2024-08-14;09:00;10:45;Car 28 Inspection Bay 25
Electrical Inspection;2024-08-14;09:00;10:45;Car 26 Inspection Bay 26
Electrical Inspection;2024-08-14;09:00;10:45;Car 72 Inspection Bay 27
Electrical Inspection;2024-08-14;09:00;10:45;Car 77 Inspection Bay 35
Electrical Inspection;2024-08-14;09:00;10:45;Car 94 Inspection Bay 36
Electrical Inspection;2024-08-14;09:00;10:45;Car 167 Inspection Bay 37
Electrical Inspection;2024-08-14;11:00;12:45;Car 65 Inspection Bay 2
Electrical Inspection;2024-08-14;11:00;12:45;Car 115 Inspection Bay 3
Electrical Inspection;2024-08-14;11:00;12:45;Car 130 Inspection Bay 4
Electrical Inspection;2024-08-14;11:00;12:45;Car 79 Inspection Bay 5
Electrical Inspection;2024-08-14;11:00;12:45;Car 107 Inspection Bay 13
Electrical Inspection;2024-08-14;11:00;12:45;Car 141 Inspection Bay 14
Electrical Inspection;2024-08-14;11:00;12:45;Car 268 Inspection Bay 15
Electrical Inspection;2024-08-14;11:00;12:45;Car 123 Inspection Bay 16
Electrical Inspection;2024-08-14;11:00;12:45;Car 187 Inspection Bay 24
Electrical Inspection;2024-08-14;11:00;12:45;Car 80 Inspection Bay 25
Electrical Inspection;2024-08-14;11:00;12:45;Car 70 Inspection Bay 26
Electrical Inspection;2024-08-14;11:00;12:45;Car 181 Inspection Bay 27
Electrical Inspection;2024-08-14;11:00;12:45;Car 249 Inspection Bay 35
Electrical Inspection;2024-08-14;11:00;12:45;Car 127 Inspection Bay 36
