"day","time","ord","car","what","duration","place"
"Tue","10:30-11:00 ","FSG24","78 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","10:30-11:45 ","FSG50","20 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","10:30-11:45 ","FSG51","133 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","10:30-11:45 ","FSG52","52 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","10:30-11:45 ","FSG53","69 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","10:30-11:45 ","FSG54","399 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","10:30-11:45 ","FSG55","74 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","10:30-11:45 ","FSG56","171 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","11:00-12:45 ","FSG11","71 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Tue","11:00-12:45 ","FSG12","99 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Tue","11:00-12:45 ","FSG13","31 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Tue","11:00-12:45 ","FSG14","15 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Tue","11:00-12:45 ","FSG15","49 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Tue","11:00-12:45 ","FSG16","313 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Tue","11:00-12:45 ","FSG17","41 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Tue","11:00-12:45 ","FSG18","340 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Tue","11:00-12:45 ","FSG19","114 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Tue","11:00-12:45 ","FSG20","124 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Tue","11:00-12:45 ","FSG79","80 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Tue","11:00-12:45 ","FSG80","70 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Tue","11:00-12:45 ","FSG81","181 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Tue","11:00-12:45 ","FSG82","249 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Tue","11:00-12:45 ","FSG83","127 ","Accumulator Inspection ","01:45","Inspection Bay 38 "
"Tue","11:15-11:45 ","FSG25","42 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","11:15-11:45 ","FSG26","95 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","11:15-11:45 ","FSG27","172 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","11:15-11:45 ","FSG28","297 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","12:00-12:30 ","FSG01","92 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","12:00-12:30 ","FSG02","54 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","12:00-12:30 ","FSG03","240 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","12:00-12:30 ","FSG04","33 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","12:00-13:15 ","FSG57","29 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","12:00-13:15 ","FSG58","34 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","12:00-13:15 ","FSG59","47 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","12:00-13:15 ","FSG60","48 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","12:00-13:15 ","FSG61","98 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","12:00-13:15 ","FSG62","46 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","12:00-13:15 ","FSG63","60 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","13:30-14:00 ","FSG05","22 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
